cnpj;nome_fantasia;cnae_fiscal_principal;descricao_cnae;segmento_varejo;exposicao_ecommerce;bairro;bairro_normalizado;eh_centro;data_inicio_atividade;situacao_cadastral;descricao_situacao_cadastral;baixada;data_fechamento;ano_fechamento;mes_fechamento;periodo_fechamento;fechou_desde_2000
03703119000119;;4781400;Comércio varejista de artigos do vestuário e acessórios;Moda;Alta;ALVORADA I;ALVORADA I;False;2000-03-20;08;BAIXADA;True;2018-03-20;2018;3;2016-2019;True
00406154000188;PIRA CORES;4744001;Comércio varejista de ferragens e ferramentas;Casa e construção;Média;VL REZENDE;VL REZENDE;False;1995-01-10;08;BAIXADA;True;1997-12-18;1997;12;Antes de 2000;False
05378785000154;TRAME;4744001;Comércio varejista de ferragens e ferramentas;Casa e construção;Média;PAULICEIA;PAULICEIA;False;2002-10-29;08;BAIXADA;True;2004-04-16;2004;4;2000-2009;True
00420688000169;;4789099;Comércio varejista de outros produtos não especificados anteriormente;Outros varejos;Média;SAO DIMAS;SAO DIMAS;False;1995-01-26;08;BAIXADA;True;2005-06-15;2005;6;2000-2009;True
00421380000138;;4729601;Tabacaria;Varejo alimentar;Média;CENTRO;CENTRO;True;1995-01-30;08;BAIXADA;True;1996-11-30;1996;11;Antes de 2000;False
03721813000169;;4761001;Comércio varejista de livros;Cultura e papelaria;Alta;CENTRO;CENTRO;True;2000-03-22;08;BAIXADA;True;2015-02-09;2015;2;2010-2015;True
05395271000107;BRINDES PIRACICABA;4789099;Comércio varejista de outros produtos não especificados anteriormente;Outros varejos;Média;CENTRO;CENTRO;True;2002-11-14;04;INAPTA;False;;;;;False
02038976000189;;4789099;Comércio varejista de outros produtos não especificados anteriormente;Outros varejos;Média;CENTRO;CENTRO;True;1997-08-15;08;BAIXADA;True;2008-11-12;2008;11;2000-2009;True
00428752000158;CARMEN RABELLO;4782201;Comércio varejista de calçados;Moda;Alta;CENTRO;CENTRO;True;1995-02-03;08;BAIXADA;True;2000-08-16;2000;8;2000-2009;True
02045991000154;DISK PET SHOP JUDA;4774100;Comércio varejista de artigos de óptica;Óptica;Média;COLINAS PIRACICABA;COLINAS PIRACICABA;False;1997-08-19;08;BAIXADA;True;1998-10-31;1998;10;Antes de 2000;False
03730596000173;TEM FRIOS;4721103;Comércio varejista de laticínios e frios;Varejo alimentar;Baixa/Não direta;PAULISTA;PAULISTA;False;2000-03-31;08;BAIXADA;True;2000-06-13;2000;6;2000-2009;True
00432752000121;;4761001;Comércio varejista de livros;Cultura e papelaria;Alta;PAULISTA;PAULISTA;False;1995-02-09;08;BAIXADA;True;2002-11-06;2002;11;2000-2009;True
00432975000199;;4753900;Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;Eletroeletrônicos;Alta;CENTRO;CENTRO;True;1995-02-07;08;BAIXADA;True;1995-09-25;1995;9;Antes de 2000;False
02057010000199;;4712100;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;Varejo alimentar;Média;RES ELDORADO;RES ELDORADO;False;1997-08-06;08;BAIXADA;True;2008-12-31;2008;12;2000-2009;True
03746376000138;;4744001;Comércio varejista de ferragens e ferramentas;Casa e construção;Média;JARDIM ABAETE;JARDIM ABAETE;False;2000-04-11;08;BAIXADA;True;2010-01-14;2010;1;2010-2015;True
05427210000184;;4781400;Comércio varejista de artigos do vestuário e acessórios;Moda;Alta;BAIRRO ALTO;BAIRRO ALTO;False;2002-11-26;02;ATIVA;False;;;;;False
00452511000144;;4789001;Comércio varejista de suvenires, bijuterias e artesanatos;Outros varejos;Média;SAO DIMAS;SAO DIMAS;False;1995-01-17;08;BAIXADA;True;2003-04-17;2003;4;2000-2009;True
05430447000114;;4781400;Comércio varejista de artigos do vestuário e acessórios;Moda;Alta;JARDIM CARMELITAS;JARDIM CARMELITAS;False;2002-11-14;08;BAIXADA;True;2006-01-17;2006;1;2000-2009;True
05432763000125;TEXTURA & CIA.;4741500;Comércio varejista de tintas e materiais para pintura;Casa e construção;Média;ALTO;ALTO;False;2002-12-11;04;INAPTA;False;;;;;False
03761631000111;TATY SCREEN COMERCIO E SERIGRAFIA;4789099;Comércio varejista de outros produtos não especificados anteriormente;Outros varejos;Média;NOVA AMERICA;NOVA AMERICA;False;2000-04-10;08;BAIXADA;True;2015-02-09;2015;2;2010-2015;True
03761929000121;;4722901;Comércio varejista de carnes - açougues;Varejo alimentar;Baixa/Não direta;TAQUARAL;TAQUARAL;False;2000-04-13;08;BAIXADA;True;2004-10-29;2004;10;2000-2009;True
05436907000111;ALUMINIO & CIA;4789099;Comércio varejista de outros produtos não especificados anteriormente;Outros varejos;Média;JARDIM MERCEDES;JARDIM MERCEDES;False;2002-12-04;08;BAIXADA;True;2010-05-25;2010;5;2010-2015;True
00329559000240;;4789001;Comércio varejista de suvenires, bijuterias e artesanatos;Outros varejos;Média;VILA RESENDE;VILA RESENDE;False;1999-03-05;08;BAIXADA;True;2001-01-08;2001;1;2000-2009;True
02082163000196;MAESTRO BRINQUEDOS;4763601;Comércio varejista de brinquedos e artigos recreativos;Esporte e lazer;Alta;CENTRO;CENTRO;True;1997-09-04;08;BAIXADA;True;2004-05-31;2004;5;2000-2009;True
05444390000102;;4711302;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;Varejo alimentar;Média;ALTO;ALTO;False;2002-12-13;08;BAIXADA;True;2011-10-04;2011;10;2010-2015;True
00471875000171;ARRAIAL DE PIRACICABA;4781400;Comércio varejista de artigos do vestuário e acessórios;Moda;Alta;CENTRO;CENTRO;True;1995-03-06;08;BAIXADA;True;1995-12-31;1995;12;Antes de 2000;False
02092814000129;;4712100;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;Varejo alimentar;Média;JD MONTE CRISTO;JD MONTE CRISTO;False;1997-08-19;08;BAIXADA;True;2008-08-07;2008;8;2000-2009;True
05460791000156;;4751201;Comércio varejista especializado de equipamentos e suprimentos de informática;Tecnologia;Alta;JARDIM EUROPA;JARDIM EUROPA;False;2003-01-02;02;ATIVA;False;;;;;False
05464404000150;PADARIA E CASA DE CARNES TROPICAL;4721102;Padaria e confeitaria com predominância de revenda;Varejo alimentar;Baixa/Não direta;JARDIM  ORIENTE;JARDIM  ORIENTE;False;2002-12-12;08;BAIXADA;True;2008-12-31;2008;12;2000-2009;True
03792854000146;FLOR & SER;4789002;Comércio varejista de plantas e flores naturais;Outros varejos;Média;SAO DIMAS;SAO DIMAS;False;2000-05-03;08;BAIXADA;True;2006-03-24;2006;3;2000-2009;True
05473320000182;;4782201;Comércio varejista de calçados;Moda;Alta;DOS ALEMAES;DOS ALEMAES;False;2003-01-14;08;BAIXADA;True;2023-06-30;2023;6;2022-2026;True
02113682000174;;4781400;Comércio varejista de artigos do vestuário e acessórios;Moda;Alta;VL REZENDE;VL REZENDE;False;1997-08-28;08;BAIXADA;True;2008-12-31;2008;12;2000-2009;True
03806267000169;MAX SHOP;4751201;Comércio varejista especializado de equipamentos e suprimentos de informática;Tecnologia;Alta;CENTRO;CENTRO;True;2000-05-10;04;INAPTA;False;;;;;False
